yourlist:M20181105AAFB7E4D2F1D05654627429E83DA5CCE019D69D	Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name	Glycosylation
Q9UHN6	Q9UHN6	reviewed	Cell surface hyaluronidase (EC 3.2.1.35) (Cell migration-inducing hyaluronidase 2) (Transmembrane protein 2)	Homo sapiens (Human)	1383	CEMIP2	CEIP2_HUMAN	CARBOHYD 248 248 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 292 292 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 914 914 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1234 1234 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9UHR4	Q9UHR4	reviewed	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 (BAI1-associated protein 2-like protein 1) (Insulin receptor tyrosine kinase substrate)	Homo sapiens (Human)	511	BAIAP2L1	BI2L1_HUMAN	
Q9UI10	Q9UI10	reviewed	Translation initiation factor eIF-2B subunit delta (eIF-2B GDP-GTP exchange factor subunit delta)	Homo sapiens (Human)	523	EIF2B4	EI2BD_HUMAN	
Q9UI12	Q9UI12	reviewed	V-type proton ATPase subunit H (V-ATPase subunit H) (Nef-binding protein 1) (NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD)	Homo sapiens (Human)	483	ATP6V1H	VATH_HUMAN	
Q9UIA9	Q9UIA9	reviewed	Exportin-7 (Exp7) (Ran-binding protein 16)	Homo sapiens (Human)	1087	XPO7	XPO7_HUMAN	
Q9UIF9	Q9UIF9	reviewed	Bromodomain adjacent to zinc finger domain protein 2A (Transcription termination factor I-interacting protein 5) (TTF-I-interacting protein 5) (Tip5) (hWALp3)	Homo sapiens (Human)	1905	BAZ2A	BAZ2A_HUMAN	
Q9UIG0	Q9UIG0	reviewed	Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2)	Homo sapiens (Human)	1483	BAZ1B	BAZ1B_HUMAN	
Q9UIQ6	Q9UIQ6	reviewed	Leucyl-cystinyl aminopeptidase (Cystinyl aminopeptidase) (EC 3.4.11.3) (Insulin-regulated membrane aminopeptidase) (Insulin-responsive aminopeptidase) (IRAP) (Oxytocinase) (OTase) (Placental leucine aminopeptidase) (P-LAP) [Cleaved into: Leucyl-cystinyl aminopeptidase, pregnancy serum form]	Homo sapiens (Human)	1025	LNPEP	LCAP_HUMAN	CARBOHYD 145 145 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 184 184 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 215 215 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 256 256 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 266 266 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 368 368 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 374 374 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 448 448 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 525 525 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 578 578 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 598 598 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 664 664 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 682 682 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 760 760 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 834 834 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 850 850 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 989 989 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9UIW2	Q9UIW2	reviewed	Plexin-A1 (Semaphorin receptor NOV)	Homo sapiens (Human)	1896	PLXNA1	PLXA1_HUMAN	CARBOHYD 77 77 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 660 660 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 672 672 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 701 701 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1043 1043 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 1187 1187 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1212 1212 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9UJ70	Q9UJ70	reviewed	N-acetyl-D-glucosamine kinase (N-acetylglucosamine kinase) (EC 2.7.1.59) (GlcNAc kinase)	Homo sapiens (Human)	344	NAGK	NAGK_HUMAN	
Q9UJS0	Q9UJS0	reviewed	Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)	Homo sapiens (Human)	675	SLC25A13	CMC2_HUMAN	
Q9UJU6	Q9UJU6	reviewed	Drebrin-like protein (Cervical SH3P7) (Cervical mucin-associated protein) (Drebrin-F) (HPK1-interacting protein of 55 kDa) (HIP-55) (SH3 domain-containing protein 7)	Homo sapiens (Human)	430	DBNL	DBNL_HUMAN	
Q9UJY4	Q9UJY4	reviewed	ADP-ribosylation factor-binding protein GGA2 (Gamma-adaptin-related protein 2) (Golgi-localized, gamma ear-containing, ARF-binding protein 2) (VHS domain and ear domain of gamma-adaptin) (Vear)	Homo sapiens (Human)	613	GGA2	GGA2_HUMAN	
Q9UJZ1	Q9UJZ1	reviewed	Stomatin-like protein 2, mitochondrial (SLP-2) (EPB72-like protein 2) (Paraprotein target 7) (Paratarg-7)	Homo sapiens (Human)	356	STOML2	STML2_HUMAN	
Q9UK23	Q9UK23	reviewed	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase (EC 3.1.4.45) (Mannose 6-phosphate-uncovering enzyme) (Phosphodiester alpha-GlcNAcase)	Homo sapiens (Human)	515	NAGPA	NAGPA_HUMAN	CARBOHYD 208 208 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 214 214 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 296 296 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 366 366 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 388 388 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 420 420 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9UK76	Q9UK76	reviewed	Jupiter microtubule associated homolog 1 (Androgen-regulated protein 2) (Hematological and neurological expressed 1 protein) [Cleaved into: Jupiter microtubule associated homolog 1, N-terminally processed]	Homo sapiens (Human)	154	JPT1	JUPI1_HUMAN	
Q9UKA9	Q9UKA9	reviewed	Polypyrimidine tract-binding protein 2 (Neural polypyrimidine tract-binding protein) (Neurally-enriched homolog of PTB) (PTB-like protein)	Homo sapiens (Human)	531	PTBP2	PTBP2_HUMAN	
Q9UKF6	Q9UKF6	reviewed	Cleavage and polyadenylation specificity factor subunit 3 (EC 3.1.27.-) (Cleavage and polyadenylation specificity factor 73 kDa subunit) (CPSF 73 kDa subunit) (mRNA 3'-end-processing endonuclease CPSF-73)	Homo sapiens (Human)	684	CPSF3	CPSF3_HUMAN	
Q9UKG1	Q9UKG1	reviewed	DCC-interacting protein 13-alpha (Dip13-alpha) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 1)	Homo sapiens (Human)	709	APPL1	DP13A_HUMAN	
Q9UKJ3	Q9UKJ3	reviewed	G patch domain-containing protein 8	Homo sapiens (Human)	1502	GPATCH8	GPTC8_HUMAN	
Q9UKK3	Q9UKK3	reviewed	Poly [ADP-ribose] polymerase 4 (PARP-4) (EC 2.4.2.30) (193 kDa vault protein) (ADP-ribosyltransferase diphtheria toxin-like 4) (ARTD4) (PARP-related/IalphaI-related H5/proline-rich) (PH5P) (Vault poly(ADP-ribose) polymerase) (VPARP)	Homo sapiens (Human)	1724	PARP4	PARP4_HUMAN	
Q9UKM7	Q9UKM7	reviewed	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (ER mannosidase 1) (ERMan1) (Man9GlcNAc2-specific-processing alpha-mannosidase) (Mannosidase alpha class 1B member 1)	Homo sapiens (Human)	699	MAN1B1	MA1B1_HUMAN	
Q9UKM9	Q9UKM9	reviewed	RNA-binding protein Raly (Autoantigen p542) (Heterogeneous nuclear ribonucleoprotein C-like 2) (hnRNP core protein C-like 2) (hnRNP associated with lethal yellow protein homolog)	Homo sapiens (Human)	306	RALY	RALY_HUMAN	
Q9UKN8	Q9UKN8	reviewed	General transcription factor 3C polypeptide 4 (EC 2.3.1.48) (TF3C-delta) (Transcription factor IIIC 90 kDa subunit) (TFIIIC 90 kDa subunit) (TFIIIC90) (Transcription factor IIIC subunit delta)	Homo sapiens (Human)	822	GTF3C4	TF3C4_HUMAN	
Q9UKS6	Q9UKS6	reviewed	Protein kinase C and casein kinase substrate in neurons protein 3 (SH3 domain-containing protein 6511)	Homo sapiens (Human)	424	PACSIN3	PACN3_HUMAN	
Q9UKV3	Q9UKV3	reviewed	Apoptotic chromatin condensation inducer in the nucleus (Acinus)	Homo sapiens (Human)	1341	ACIN1	ACINU_HUMAN	
Q9UKX7	Q9UKX7	reviewed	Nuclear pore complex protein Nup50 (50 kDa nucleoporin) (Nuclear pore-associated protein 60 kDa-like) (Nucleoporin Nup50)	Homo sapiens (Human)	468	NUP50	NUP50_HUMAN	
Q9UKY7	Q9UKY7	reviewed	Protein CDV3 homolog	Homo sapiens (Human)	258	CDV3	CDV3_HUMAN	
Q9UL25	Q9UL25	reviewed	Ras-related protein Rab-21	Homo sapiens (Human)	225	RAB21	RAB21_HUMAN	
Q9ULA0	Q9ULA0	reviewed	Aspartyl aminopeptidase (EC 3.4.11.21)	Homo sapiens (Human)	475	DNPEP	DNPEP_HUMAN	
Q9ULD2	Q9ULD2	reviewed	Microtubule-associated tumor suppressor 1 (AT2 receptor-binding protein) (Angiotensin-II type 2 receptor-interacting protein) (Mitochondrial tumor suppressor 1)	Homo sapiens (Human)	1270	MTUS1	MTUS1_HUMAN	
Q9ULH0	Q9ULH0	reviewed	Kinase D-interacting substrate of 220 kDa (Ankyrin repeat-rich membrane-spanning protein)	Homo sapiens (Human)	1771	KIDINS220	KDIS_HUMAN	
Q9ULI3	Q9ULI3	reviewed	Protein HEG homolog 1	Homo sapiens (Human)	1381	HEG1	HEG1_HUMAN	CARBOHYD 67 67 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:22171320}.; CARBOHYD 123 123 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 159 159 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952}.; CARBOHYD 180 180 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 314 314 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 462 462 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 520 520 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952}.; CARBOHYD 610 610 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1137 1137 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9ULJ8	Q9ULJ8	reviewed	Neurabin-1 (Neurabin-I) (Neural tissue-specific F-actin-binding protein I) (Protein phosphatase 1 regulatory subunit 9A)	Homo sapiens (Human)	1098	PPP1R9A	NEB1_HUMAN	
Q9ULT8	Q9ULT8	reviewed	E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (E3 ligase for inhibin receptor) (EULIR) (HECT domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECTD1)	Homo sapiens (Human)	2610	HECTD1	HECD1_HUMAN	
Q9ULU4	Q9ULU4	reviewed	Protein kinase C-binding protein 1 (Cutaneous T-cell lymphoma-associated antigen se14-3) (CTCL-associated antigen se14-3) (Rack7) (Zinc finger MYND domain-containing protein 8)	Homo sapiens (Human)	1186	ZMYND8	PKCB1_HUMAN	
Q9ULV3	Q9ULV3	reviewed	Cip1-interacting zinc finger protein (CDKN1A-interacting zinc finger protein 1) (Nuclear protein NP94) (Zinc finger protein 356)	Homo sapiens (Human)	898	CIZ1	CIZ1_HUMAN	
Q9ULV4	Q9ULV4	reviewed	Coronin-1C (Coronin-3) (hCRNN4)	Homo sapiens (Human)	474	CORO1C	COR1C_HUMAN	
Q9ULW0	Q9ULW0	reviewed	Targeting protein for Xklp2 (Differentially expressed in cancerous and non-cancerous lung cells 2) (DIL-2) (Hepatocellular carcinoma-associated antigen 519) (Hepatocellular carcinoma-associated antigen 90) (Protein fls353) (Restricted expression proliferation-associated protein 100) (p100)	Homo sapiens (Human)	747	TPX2	TPX2_HUMAN	
Q9UM54	Q9UM54	reviewed	Unconventional myosin-VI (Unconventional myosin-6)	Homo sapiens (Human)	1294	MYO6	MYO6_HUMAN	
Q9UMS4	Q9UMS4	reviewed	Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (hPso4) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor)	Homo sapiens (Human)	504	PRPF19	PRP19_HUMAN	
Q9UMZ2	Q9UMZ2	reviewed	Synergin gamma (AP1 subunit gamma-binding protein 1) (Gamma-synergin)	Homo sapiens (Human)	1314	SYNRG	SYNRG_HUMAN	
Q9UN86	Q9UN86	reviewed	Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2)	Homo sapiens (Human)	482	G3BP2	G3BP2_HUMAN	
Q9UNF1	Q9UNF1	reviewed	Melanoma-associated antigen D2 (11B6) (Breast cancer-associated gene 1 protein) (BCG-1) (Hepatocellular carcinoma-associated protein JCL-1) (MAGE-D2 antigen)	Homo sapiens (Human)	606	MAGED2	MAGD2_HUMAN	
Q9UNK0	Q9UNK0	reviewed	Syntaxin-8	Homo sapiens (Human)	236	STX8	STX8_HUMAN	
Q9UNN8	Q9UNN8	reviewed	Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Endothelial cell protein C receptor) (CD antigen CD201)	Homo sapiens (Human)	238	PROCR	EPCR_HUMAN	CARBOHYD 47 47 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12034704}.; CARBOHYD 64 64 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 136 136 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12034704}.; CARBOHYD 172 172 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12034704}.
Q9UNW9	Q9UNW9	reviewed	RNA-binding protein Nova-2 (Astrocytic NOVA1-like RNA-binding protein) (Neuro-oncological ventral antigen 2)	Homo sapiens (Human)	492	NOVA2	NOVA2_HUMAN	
Q9UNX4	Q9UNX4	reviewed	WD repeat-containing protein 3	Homo sapiens (Human)	943	WDR3	WDR3_HUMAN	
Q9UNZ2	Q9UNZ2	reviewed	NSFL1 cofactor p47 (UBX domain-containing protein 2C) (p97 cofactor p47)	Homo sapiens (Human)	370	NSFL1C	NSF1C_HUMAN	
Q9UP95	Q9UP95	reviewed	Solute carrier family 12 member 4 (Electroneutral potassium-chloride cotransporter 1) (Erythroid K-Cl cotransporter 1) (hKCC1)	Homo sapiens (Human)	1085	SLC12A4	S12A4_HUMAN	CARBOHYD 245 245 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 312 312 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 331 331 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 347 347 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 439 439 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9UPN3	Q9UPN3	reviewed	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	Homo sapiens (Human)	7388	MACF1	MACF1_HUMAN	
Q9UPN4	Q9UPN4	reviewed	Centrosomal protein of 131 kDa (5-azacytidine-induced protein 1) (Pre-acrosome localization protein 1)	Homo sapiens (Human)	1083	CEP131	CP131_HUMAN	
Q9UPN7	Q9UPN7	reviewed	Serine/threonine-protein phosphatase 6 regulatory subunit 1 (SAPS domain family member 1)	Homo sapiens (Human)	881	PPP6R1	PP6R1_HUMAN	
Q9UPQ0	Q9UPQ0	reviewed	LIM and calponin homology domains-containing protein 1	Homo sapiens (Human)	1083	LIMCH1	LIMC1_HUMAN	
Q9UPQ9	Q9UPQ9	reviewed	Trinucleotide repeat-containing gene 6B protein	Homo sapiens (Human)	1833	TNRC6B	TNR6B_HUMAN	
Q9UPR5	Q9UPR5	reviewed	Sodium/calcium exchanger 2 (Na(+)/Ca(2+)-exchange protein 2) (Solute carrier family 8 member 2)	Homo sapiens (Human)	921	SLC8A2	NAC2_HUMAN	CARBOHYD 34 34 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 817 817 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9UPT8	Q9UPT8	reviewed	Zinc finger CCCH domain-containing protein 4	Homo sapiens (Human)	1303	ZC3H4	ZC3H4_HUMAN	
Q9UPU5	Q9UPU5	reviewed	Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)	Homo sapiens (Human)	2620	USP24	UBP24_HUMAN	
Q9UQ35	Q9UQ35	reviewed	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)	Homo sapiens (Human)	2752	SRRM2	SRRM2_HUMAN	
Q9UQ80	Q9UQ80	reviewed	Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)	Homo sapiens (Human)	394	PA2G4	PA2G4_HUMAN	
Q9UQB8	Q9UQB8	reviewed	Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53)	Homo sapiens (Human)	552	BAIAP2	BAIP2_HUMAN	
Q9UQE7	Q9UQE7	reviewed	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide) (hCAP)	Homo sapiens (Human)	1217	SMC3	SMC3_HUMAN	
Q9W5R8	Q9W5R8	reviewed	60S ribosomal protein L5	Drosophila melanogaster (Fruit fly)	299	RpL5	RL5_DROME	
Q9Y230	Q9Y230	reviewed	RuvB-like 2 (EC 3.6.4.12) (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta)	Homo sapiens (Human)	463	RUVBL2	RUVB2_HUMAN	
Q9Y251	Q9Y251	reviewed	Heparanase (EC 3.2.1.166) (Endo-glucoronidase) (Heparanase-1) (Hpa1) [Cleaved into: Heparanase 8 kDa subunit; Heparanase 50 kDa subunit]	Homo sapiens (Human)	543	HPSE	HPSE_HUMAN	CARBOHYD 162 162 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5E8M, ECO:0000244|PDB:5E97, ECO:0000269|PubMed:14573609, ECO:0000269|PubMed:28581485}.; CARBOHYD 178 178 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:14573609}.; CARBOHYD 200 200 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5E8M, ECO:0000244|PDB:5E97, ECO:0000244|PDB:5E98, ECO:0000244|PDB:5E9B, ECO:0000244|PDB:5E9C, ECO:0000269|PubMed:14573609, ECO:0000269|PubMed:28581485}.; CARBOHYD 217 217 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5E8M, ECO:0000269|PubMed:14573609, ECO:0000269|PubMed:16263699, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:28581485}.; CARBOHYD 238 238 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5E8M, ECO:0000244|PDB:5E97, ECO:0000244|PDB:5E98, ECO:0000244|PDB:5E9B, ECO:0000244|PDB:5E9C, ECO:0000269|PubMed:14573609, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:28581485}.; CARBOHYD 459 459 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:5E8M, ECO:0000244|PDB:5E97, ECO:0000244|PDB:5E98, ECO:0000244|PDB:5E9B, ECO:0000244|PDB:5E9C, ECO:0000269|PubMed:14573609, ECO:0000269|PubMed:28581485}.
Q9Y263	Q9Y263	reviewed	Phospholipase A-2-activating protein (PLA2P) (PLAP)	Homo sapiens (Human)	795	PLAA	PLAP_HUMAN	
Q9Y265	Q9Y265	reviewed	RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha)	Homo sapiens (Human)	456	RUVBL1	RUVB1_HUMAN	
Q9Y266	Q9Y266	reviewed	Nuclear migration protein nudC (Nuclear distribution protein C homolog)	Homo sapiens (Human)	331	NUDC	NUDC_HUMAN	
Q9Y277	Q9Y277	reviewed	Voltage-dependent anion-selective channel protein 3 (VDAC-3) (hVDAC3) (Outer mitochondrial membrane protein porin 3)	Homo sapiens (Human)	283	VDAC3	VDAC3_HUMAN	
Q9Y289	Q9Y289	reviewed	Sodium-dependent multivitamin transporter (Na(+)-dependent multivitamin transporter) (Solute carrier family 5 member 6)	Homo sapiens (Human)	635	SLC5A6	SC5A6_HUMAN	CARBOHYD 138 138 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 489 489 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 498 498 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9Y2A7	Q9Y2A7	reviewed	Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1)	Homo sapiens (Human)	1128	NCKAP1	NCKP1_HUMAN	
Q9Y2B0	Q9Y2B0	reviewed	Protein canopy homolog 2 (MIR-interacting saposin-like protein) (Putative secreted protein Zsig9) (Transmembrane protein 4)	Homo sapiens (Human)	182	CNPY2	CNPY2_HUMAN	
Q9Y2D5	Q9Y2D5	reviewed	A-kinase anchor protein 2 (AKAP-2) (AKAP-KL) (Protein kinase A-anchoring protein 2) (PRKA2)	Homo sapiens (Human)	859	AKAP2	AKAP2_HUMAN	
Q9Y2G1	Q9Y2G1	reviewed	Myelin regulatory factor (EC 3.4.-.-) (Myelin gene regulatory factor) [Cleaved into: Myelin regulatory factor, N-terminal; Myelin regulatory factor, C-terminal]	Homo sapiens (Human)	1151	MYRF	MYRF_HUMAN	CARBOHYD 919 919 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1043 1043 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1065 1065 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1129 1129 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9Y2G3	Q9Y2G3	reviewed	Probable phospholipid-transporting ATPase IF (EC 3.6.3.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)	Homo sapiens (Human)	1177	ATP11B	AT11B_HUMAN	
Q9Y2H6	Q9Y2H6	reviewed	Fibronectin type-III domain-containing protein 3A (Human gene expressed in odontoblasts)	Homo sapiens (Human)	1198	FNDC3A	FND3A_HUMAN	
Q9Y2J2	Q9Y2J2	reviewed	Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]	Homo sapiens (Human)	1087	EPB41L3	E41L3_HUMAN	
Q9Y2J4	Q9Y2J4	reviewed	Angiomotin-like protein 2 (Leman coiled-coil protein) (LCCP)	Homo sapiens (Human)	779	AMOTL2	AMOL2_HUMAN	
Q9Y2R4	Q9Y2R4	reviewed	Probable ATP-dependent RNA helicase DDX52 (EC 3.6.4.13) (ATP-dependent RNA helicase ROK1-like) (DEAD box protein 52)	Homo sapiens (Human)	599	DDX52	DDX52_HUMAN	
Q9Y2S7	Q9Y2S7	reviewed	Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38)	Homo sapiens (Human)	368	POLDIP2	PDIP2_HUMAN	
Q9Y2T7	Q9Y2T7	reviewed	Y-box-binding protein 2 (Contrin) (DNA-binding protein C) (Dbpc) (Germ cell-specific Y-box-binding protein) (MSY2 homolog)	Homo sapiens (Human)	364	YBX2	YBOX2_HUMAN	
Q9Y2U8	Q9Y2U8	reviewed	Inner nuclear membrane protein Man1 (LEM domain-containing protein 3)	Homo sapiens (Human)	911	LEMD3	MAN1_HUMAN	
Q9Y2W1	Q9Y2W1	reviewed	Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	Homo sapiens (Human)	955	THRAP3	TR150_HUMAN	
Q9Y2W2	Q9Y2W2	reviewed	WW domain-binding protein 11 (WBP-11) (Npw38-binding protein) (NpwBP) (SH3 domain-binding protein SNP70) (Splicing factor that interacts with PQBP-1 and PP1)	Homo sapiens (Human)	641	WBP11	WBP11_HUMAN	
Q9Y2X3	Q9Y2X3	reviewed	Nucleolar protein 58 (Nucleolar protein 5)	Homo sapiens (Human)	529	NOP58	NOP58_HUMAN	
Q9Y2X7	Q9Y2X7	reviewed	ARF GTPase-activating protein GIT1 (ARF GAP GIT1) (Cool-associated and tyrosine-phosphorylated protein 1) (CAT-1) (CAT1) (G protein-coupled receptor kinase-interactor 1) (GRK-interacting protein 1)	Homo sapiens (Human)	761	GIT1	GIT1_HUMAN	
Q9Y2X9	Q9Y2X9	reviewed	Zinc finger protein 281 (GC-box-binding zinc finger protein 1) (Transcription factor ZBP-99) (Zinc finger DNA-binding protein 99)	Homo sapiens (Human)	895	ZNF281	ZN281_HUMAN	
Q9Y2Z0	Q9Y2Z0	reviewed	Protein SGT1 homolog (Protein 40-6-3) (Sgt1) (Suppressor of G2 allele of SKP1 homolog)	Homo sapiens (Human)	365	SUGT1	SGT1_HUMAN	
